ID_REF,VALUE
1031_at,7.6315
10311_at,6.0384
10312_at,9.9179
10313_at,11.788
10314_at,8.5847
10316_at,3.7039
10317_at,3.6179
10318_at,10.161
10319_at,5.1313
1032_at,6.1577
10320_at,3.6927
10321_at,3.6066
10322_at,7.2667
10324_at,3.8485
10325_at,6.6448
10326_at,4.1103
10327_at,10.676
10328_at,8.9278
10329_at,9.7822
1033_at,11.344
10330_at,10.219
10331_at,6.0337
10332_at,3.8716
10333_at,4.8429
10335_at,4.536
10336_at,7.2643
10342_at,11.268
10343_at,4.5171
10344_at,4.4301
10345_at,3.5425
10346_at,7.8455
10347_at,5.8851
10350_at,3.5652
10351_at,3.7369
10352_at,7.3559
1036_at,3.8265
10360_at,6.2885
10361_at,5.543
10362_at,8.4539
