ID_REF,VALUE,Description
11026_at,3.2603,"leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3"
11027_at,3.8338,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2"
11055_at,3.935,zona pellucida binding protein
11061_at,3.935,leukocyte cell derived chemotaxin 1
11069_at,3.6317,Rap guanine nucleotide exchange factor (GEF) 4
11074_at,3.8578,tripartite motif containing 31
11075_at,3.6767,stathmin-like 2
11081_at,3.5243,keratocan
11082_at,3.3795,endothelial cell-specific molecule 1
11085_at,3.637,ADAM metallopeptidase domain 30
11086_at,3.5422,ADAM metallopeptidase domain 29
1109_at,3.2534,"reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)"
11095_at,3.7569,"ADAM metallopeptidase with thrombospondin type 1 motif, 8"
11096_at,3.6083,"ADAM metallopeptidase with thrombospondin type 1 motif, 5"
11105_at,3.7731,PR domain containing 7
11107_at,3.6451,PR domain containing 5
11117_at,3.7971,elastin microfibril interfacer 1
11126_at,3.8639,CD160 molecule
1113_at,3.9037,A (parathyroid secretory protein 1)
1114_at,3.8539,B (secretogranin 1)
11141_at,3.9588,interleukin 1 receptor accessory protein-like 1
11148_at,3.4649,HERV-H LTR-associating 2
1116_at,3.5727,3-like 1 (cartilage glycoprotein-39)
11166_at,3.7248,SRY (sex determining region Y)-box 21
11172_at,3.4912,insulin-like 6
11174_at,3.6793,"ADAM metallopeptidase with thrombospondin type 1 motif, 6"
11178_at,3.7352,"leucine zipper, putative tumor suppressor 1"
1118_at,3.7082,1 (chitotriosidase)
11181_at,3.4605,trehalase (brush-border membrane glycoprotein)
11185_at,3.3395,indolethylamine N-methyltransferase
11197_at,3.5763,WNT inhibitory factor 1
11201_at,3.444,polymerase (DNA directed) iota
11213_at,3.8803,interleukin-1 receptor-associated kinase 3
11249_at,3.6392,neurexophilin 2
11251_at,3.9713,prostaglandin D2 receptor 2
11254_at,3.5851,"solute carrier family 6 (amino acid transporter), member 14"
11262_at,3.5867,SP140 nuclear body protein
112744_at,3.5849,interleukin 17F
11279_at,3.9131,Kruppel-like factor 8
1128_at,3.7902,"receptor, muscarinic 1"
11280_at,3.3422,"sodium channel, voltage-gated, type XI, alpha subunit"
11281_at,3.6202,POU class 6 homeobox 2
